age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,363,1,2024-06-26T22:08:25.684734Z,focused_faces,female,864,/Users/almamidany/Desktop/labeled/focused_faces/image0000021.jpg,4.501,2024-06-26T22:08:25.684759Z
adult,364,1,2024-06-26T22:08:30.910386Z,focused_faces,male,865,/Users/almamidany/Desktop/labeled/focused_faces/image0000025.jpg,5.068,2024-06-26T22:08:30.910418Z
adult,365,1,2024-06-26T22:08:36.350874Z,focused_faces,male,866,/Users/almamidany/Desktop/labeled/focused_faces/image0000031.jpg,5.281,2024-06-26T22:08:36.350897Z
adult,368,1,2024-06-26T22:08:50.765822Z,focused_faces,female,869,/Users/almamidany/Desktop/labeled/focused_faces/image0000090.jpg,3.922,2024-06-26T22:08:50.765847Z
adult,370,1,2024-06-26T22:08:59.297214Z,focused_faces,male,871,/Users/almamidany/Desktop/labeled/focused_faces/image0000340.jpg,4.448,2024-06-26T22:08:59.297239Z
adult,371,1,2024-06-26T22:09:03.417338Z,focused_faces,male,872,/Users/almamidany/Desktop/labeled/focused_faces/image0000388.jpg,3.972,2024-06-26T22:09:03.417363Z
adult,372,1,2024-06-26T22:09:08.551398Z,focused_faces,female,873,/Users/almamidany/Desktop/labeled/focused_faces/image0000443.jpg,4.985,2024-06-26T22:09:08.551422Z
adult,373,1,2024-06-26T22:09:12.551171Z,focused_faces,male,874,/Users/almamidany/Desktop/labeled/focused_faces/image0000458.jpg,3.853,2024-06-26T22:09:12.551193Z
adult,374,1,2024-06-26T22:09:18.853023Z,focused_faces,male,875,/Users/almamidany/Desktop/labeled/focused_faces/image0000506.jpg,6.152,2024-06-26T22:09:18.853056Z
adult,375,1,2024-06-26T22:09:23.717456Z,focused_faces,female,876,/Users/almamidany/Desktop/labeled/focused_faces/image0000632.jpg,4.691,2024-06-26T22:09:23.717481Z
adult,376,1,2024-06-26T22:09:30.482823Z,focused_faces,male,877,/Users/almamidany/Desktop/labeled/focused_faces/image0000673.jpg,6.618,2024-06-26T22:09:30.482848Z
adult,377,1,2024-06-26T22:09:34.501081Z,focused_faces,male,878,/Users/almamidany/Desktop/labeled/focused_faces/image0000678.jpg,3.87,2024-06-26T22:09:34.501106Z
adult,378,1,2024-06-26T22:09:38.297218Z,focused_faces,male,879,/Users/almamidany/Desktop/labeled/focused_faces/image0000753.jpg,3.649,2024-06-26T22:09:38.297240Z
adult,379,1,2024-06-26T22:09:42.434333Z,focused_faces,female,880,/Users/almamidany/Desktop/labeled/focused_faces/image0000838.jpg,3.991,2024-06-26T22:09:42.434358Z
adult,382,1,2024-06-26T22:09:55.899416Z,focused_faces,male,883,/Users/almamidany/Desktop/labeled/focused_faces/image0001027.jpg,4.189,2024-06-26T22:09:55.899440Z
adult,383,1,2024-06-26T22:17:31.760720Z,focused_faces,male,884,/Users/almamidany/Desktop/labeled/focused_faces/image0001053.jpg,455.676,2024-06-26T22:17:31.760745Z
adult,384,1,2024-06-26T22:17:36.509381Z,focused_faces,male,885,/Users/almamidany/Desktop/labeled/focused_faces/image0001084.jpg,4.588,2024-06-26T22:17:36.509406Z
adult,385,1,2024-06-26T22:17:41.036736Z,focused_faces,male,886,/Users/almamidany/Desktop/labeled/focused_faces/image0001090.jpg,4.358,2024-06-26T22:17:41.036776Z
adult,387,1,2024-06-26T22:17:50.677434Z,focused_faces,male,888,/Users/almamidany/Desktop/labeled/focused_faces/image0001104.jpg,4.641,2024-06-26T22:17:50.677461Z
adult,390,1,2024-06-26T22:19:55.307009Z,focused_faces,female,891,/Users/almamidany/Desktop/labeled/focused_faces/image0001141.jpg,116.052,2024-06-26T22:19:55.307034Z
adult,391,1,2024-06-26T22:20:00.190421Z,focused_faces,male,892,/Users/almamidany/Desktop/labeled/focused_faces/image0001166.jpg,4.719,2024-06-26T22:20:00.190446Z
adult,392,1,2024-06-26T22:20:04.138186Z,focused_faces,male,893,/Users/almamidany/Desktop/labeled/focused_faces/image0001182.jpg,3.789,2024-06-26T22:20:04.138212Z
adult,394,1,2024-06-26T22:20:14.605140Z,focused_faces,female,895,/Users/almamidany/Desktop/labeled/focused_faces/image0001312.jpg,6.144,2024-06-26T22:20:14.605166Z
adult,395,1,2024-06-26T22:20:21.472516Z,focused_faces,female,896,/Users/almamidany/Desktop/labeled/focused_faces/image0001332.jpg,6.709,2024-06-26T22:20:21.472542Z
adult,396,1,2024-06-26T22:20:27.605848Z,focused_faces,female,897,/Users/almamidany/Desktop/labeled/focused_faces/image0001334.jpg,5.976,2024-06-26T22:20:27.605875Z
adult,397,1,2024-06-26T22:20:31.656426Z,focused_faces,female,898,/Users/almamidany/Desktop/labeled/focused_faces/image0001394.jpg,3.891,2024-06-26T22:20:31.656450Z
adult,401,1,2024-06-26T22:20:51.687334Z,focused_faces,male,902,/Users/almamidany/Desktop/labeled/focused_faces/image0001593.jpg,5.526,2024-06-26T22:20:51.687360Z
adult,402,1,2024-06-26T22:21:02.257257Z,focused_faces,female,903,/Users/almamidany/Desktop/labeled/focused_faces/image0001622.jpg,10.412,2024-06-26T22:21:02.257281Z
adult,403,1,2024-06-26T22:21:08.054047Z,focused_faces,female,904,/Users/almamidany/Desktop/labeled/focused_faces/image0001681.jpg,5.635,2024-06-26T22:21:08.054074Z
adult,404,1,2024-06-26T22:21:12.819304Z,focused_faces,male,905,/Users/almamidany/Desktop/labeled/focused_faces/image0001682.jpg,4.612,2024-06-26T22:21:12.819329Z
adult,408,1,2024-06-26T22:21:31.788260Z,focused_faces,male,909,/Users/almamidany/Desktop/labeled/focused_faces/image0001764.jpg,5.424,2024-06-26T22:21:31.788287Z
adult,409,1,2024-06-26T22:21:36.508504Z,focused_faces,male,910,/Users/almamidany/Desktop/labeled/focused_faces/image0001782.jpg,4.56,2024-06-26T22:21:36.508534Z
adult,410,1,2024-06-26T22:21:40.872926Z,focused_faces,male,911,/Users/almamidany/Desktop/labeled/focused_faces/image0001783.jpg,4.19,2024-06-26T22:21:40.872950Z
adult,411,1,2024-06-26T22:21:45.092617Z,focused_faces,male,912,/Users/almamidany/Desktop/labeled/focused_faces/image0001787.jpg,4.034,2024-06-26T22:21:45.092644Z
