age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,162,1,2024-06-26T20:19:19.877562Z,neutral_faces,female,663,/Users/almamidany/Desktop/labeled/neutral_faces/image0000048.jpg,8.777,2024-06-26T20:19:19.877604Z
adult,163,1,2024-06-26T20:19:24.463022Z,neutral_faces,male,664,/Users/almamidany/Desktop/labeled/neutral_faces/image0000272.jpg,4.323,2024-06-26T20:19:24.463048Z
adult,167,1,2024-06-26T20:19:42.642284Z,neutral_faces,female,668,/Users/almamidany/Desktop/labeled/neutral_faces/image0000328.jpg,4.464,2024-06-26T20:19:42.642310Z
adult,168,1,2024-06-26T20:19:47.478347Z,neutral_faces,male,669,/Users/almamidany/Desktop/labeled/neutral_faces/image0000329.jpg,4.685,2024-06-26T20:19:47.478371Z
adult,169,1,2024-06-26T20:19:52.290989Z,neutral_faces,male,670,/Users/almamidany/Desktop/labeled/neutral_faces/image0000489.jpg,4.663,2024-06-26T20:19:52.291060Z
adult,171,1,2024-06-26T20:20:01.574492Z,neutral_faces,male,672,/Users/almamidany/Desktop/labeled/neutral_faces/image0000661.jpg,4.315,2024-06-26T20:20:01.574516Z
adult,172,1,2024-06-26T20:20:06.129005Z,neutral_faces,female,673,/Users/almamidany/Desktop/labeled/neutral_faces/image0000662.jpg,4.394,2024-06-26T20:20:06.129032Z
adult,174,1,2024-06-26T20:23:41.679391Z,neutral_faces,male,675,/Users/almamidany/Desktop/labeled/neutral_faces/image0000666.jpg,208.777,2024-06-26T20:23:41.679414Z
adult,175,1,2024-06-26T20:23:50.013156Z,neutral_faces,female,676,/Users/almamidany/Desktop/labeled/neutral_faces/image0000672.jpg,8.182,2024-06-26T20:23:50.013178Z
adult,176,1,2024-06-26T20:23:55.160796Z,neutral_faces,male,677,/Users/almamidany/Desktop/labeled/neutral_faces/image0000738.jpg,4.997,2024-06-26T20:23:55.160821Z
adult,177,1,2024-06-26T20:23:59.645076Z,neutral_faces,female,678,/Users/almamidany/Desktop/labeled/neutral_faces/image0000846.jpg,4.333,2024-06-26T20:23:59.645100Z
adult,181,1,2024-06-26T20:24:22.627705Z,neutral_faces,male,682,/Users/almamidany/Desktop/labeled/neutral_faces/image0000894.jpg,4.441,2024-06-26T20:24:22.627731Z
adult,182,1,2024-06-26T20:24:27.475179Z,neutral_faces,male,683,/Users/almamidany/Desktop/labeled/neutral_faces/image0000919.jpg,4.689,2024-06-26T20:24:27.475205Z
adult,183,1,2024-06-26T20:24:34.012804Z,neutral_faces,female,684,/Users/almamidany/Desktop/labeled/neutral_faces/image0000931.jpg,6.386,2024-06-26T20:24:34.012827Z
adult,184,1,2024-06-26T20:24:38.840305Z,neutral_faces,male,685,/Users/almamidany/Desktop/labeled/neutral_faces/image0000936.jpg,4.679,2024-06-26T20:24:38.840332Z
adult,188,1,2024-06-26T20:24:58.208472Z,neutral_faces,male,689,/Users/almamidany/Desktop/labeled/neutral_faces/image0001230.jpg,4.612,2024-06-26T20:24:58.208497Z
adult,190,1,2024-06-26T20:25:09.290412Z,neutral_faces,male,691,/Users/almamidany/Desktop/labeled/neutral_faces/image0001355.jpg,4.33,2024-06-26T20:25:09.290437Z
adult,192,1,2024-06-26T20:25:18.392200Z,neutral_faces,male,693,/Users/almamidany/Desktop/labeled/neutral_faces/image0001357.jpg,3.856,2024-06-26T20:25:18.392225Z
adult,193,1,2024-06-26T20:25:22.893831Z,neutral_faces,male,694,/Users/almamidany/Desktop/labeled/neutral_faces/image0001542.jpg,4.348,2024-06-26T20:25:22.893854Z
adult,194,1,2024-06-26T20:25:30.341777Z,neutral_faces,male,695,/Users/almamidany/Desktop/labeled/neutral_faces/image0001547.jpg,7.29,2024-06-26T20:25:30.341802Z
adult,195,1,2024-06-26T20:25:34.359051Z,neutral_faces,female,696,/Users/almamidany/Desktop/labeled/neutral_faces/image0001597.jpg,3.864,2024-06-26T20:25:34.359075Z
adult,196,1,2024-06-26T20:25:41.325707Z,neutral_faces,female,697,/Users/almamidany/Desktop/labeled/neutral_faces/image0001744.jpg,6.813,2024-06-26T20:25:41.325731Z
adult,199,1,2024-06-26T20:25:54.876544Z,neutral_faces,male,700,/Users/almamidany/Desktop/labeled/neutral_faces/image0001989.jpg,5.116,2024-06-26T20:25:54.876567Z
adult,201,1,2024-06-26T20:26:05.393564Z,neutral_faces,male,702,/Users/almamidany/Desktop/labeled/neutral_faces/image0002098.jpg,4.458,2024-06-26T20:26:05.393587Z
adult,202,1,2024-06-26T20:26:15.790130Z,neutral_faces,male,703,/Users/almamidany/Desktop/labeled/neutral_faces/image0002263.jpg,10.242,2024-06-26T20:26:15.790152Z
adult,203,1,2024-06-26T20:26:19.976447Z,neutral_faces,male,704,/Users/almamidany/Desktop/labeled/neutral_faces/image0002303.jpg,4.02,2024-06-26T20:26:19.976472Z
adult,204,1,2024-06-26T20:26:25.006051Z,neutral_faces,female,705,/Users/almamidany/Desktop/labeled/neutral_faces/image0002313.jpg,4.88,2024-06-26T20:26:25.006076Z
adult,208,1,2024-06-26T20:26:43.040289Z,neutral_faces,female,709,/Users/almamidany/Desktop/labeled/neutral_faces/image0002844.jpg,4.083,2024-06-26T20:26:43.040313Z
adult,209,1,2024-06-26T20:26:48.155937Z,neutral_faces,male,710,/Users/almamidany/Desktop/labeled/neutral_faces/image0002895.jpg,4.963,2024-06-26T20:26:48.155961Z
adult,210,1,2024-06-26T20:39:47.088675Z,neutral_faces,male,711,/Users/almamidany/Desktop/labeled/neutral_faces/image0002897.jpg,778.743,2024-06-26T20:39:47.088702Z
adult,211,1,2024-06-26T20:39:52.185186Z,neutral_faces,male,712,/Users/almamidany/Desktop/labeled/neutral_faces/image0002931.jpg,4.933,2024-06-26T20:39:52.185210Z
adult,212,1,2024-06-26T20:39:57.433848Z,neutral_faces,male,713,/Users/almamidany/Desktop/labeled/neutral_faces/image0003143.jpg,5.103,2024-06-26T20:39:57.433873Z
adult,214,1,2024-06-26T20:40:09.631164Z,neutral_faces,male,715,/Users/almamidany/Desktop/labeled/neutral_faces/image0003184.jpg,4.723,2024-06-26T20:40:09.631187Z
adult,215,1,2024-06-26T20:40:14.555225Z,neutral_faces,female,716,/Users/almamidany/Desktop/labeled/neutral_faces/image0003190.jpg,4.771,2024-06-26T20:40:14.555248Z
adult,216,1,2024-06-26T20:40:19.917613Z,neutral_faces,male,717,/Users/almamidany/Desktop/labeled/neutral_faces/image0003193.jpg,5.217,2024-06-26T20:40:19.917636Z
adult,217,1,2024-06-26T20:40:24.567288Z,neutral_faces,male,718,/Users/almamidany/Desktop/labeled/neutral_faces/image0003195.jpg,4.506,2024-06-26T20:40:24.567311Z
adult,219,1,2024-06-26T20:40:33.516889Z,neutral_faces,female,720,/Users/almamidany/Desktop/labeled/neutral_faces/image0003343.jpg,4.018,2024-06-26T20:40:33.516913Z
adult,220,1,2024-06-26T20:40:38.133006Z,neutral_faces,male,721,/Users/almamidany/Desktop/labeled/neutral_faces/image0003344.jpg,4.47,2024-06-26T20:40:38.133032Z
adult,221,1,2024-06-26T20:40:43.527689Z,neutral_faces,female,722,/Users/almamidany/Desktop/labeled/neutral_faces/image0003378.jpg,5.254,2024-06-26T20:40:43.527717Z
adult,222,1,2024-06-26T20:40:48.198067Z,neutral_faces,male,723,/Users/almamidany/Desktop/labeled/neutral_faces/image0003383.jpg,4.516,2024-06-26T20:40:48.198092Z
adult,223,1,2024-06-26T20:40:52.502805Z,neutral_faces,female,724,/Users/almamidany/Desktop/labeled/neutral_faces/image0003545.jpg,4.156,2024-06-26T20:40:52.502830Z
adult,226,1,2024-06-26T20:41:05.250299Z,neutral_faces,male,727,/Users/almamidany/Desktop/labeled/neutral_faces/image0003608.jpg,4.382,2024-06-26T20:41:05.250324Z
adult,227,1,2024-06-26T20:41:09.851740Z,neutral_faces,male,728,/Users/almamidany/Desktop/labeled/neutral_faces/image0003619.jpg,4.45,2024-06-26T20:41:09.851763Z
adult,229,1,2024-06-26T20:42:09.944907Z,neutral_faces,female,730,/Users/almamidany/Desktop/labeled/neutral_faces/image0003750.jpg,55.427,2024-06-26T20:42:09.944930Z
adult,230,1,2024-06-26T20:42:16.297809Z,neutral_faces,male,731,/Users/almamidany/Desktop/labeled/neutral_faces/image0003755.jpg,6.205,2024-06-26T20:42:16.297836Z
adult,232,1,2024-06-26T20:42:28.114989Z,neutral_faces,male,733,/Users/almamidany/Desktop/labeled/neutral_faces/image0003816.jpg,6.534,2024-06-26T20:42:28.115013Z
adult,235,1,2024-06-26T20:42:44.532106Z,neutral_faces,female,736,/Users/almamidany/Desktop/labeled/neutral_faces/image0004366.jpg,6.464,2024-06-26T20:42:44.532129Z
adult,236,1,2024-06-26T20:42:48.512006Z,neutral_faces,female,737,/Users/almamidany/Desktop/labeled/neutral_faces/image0004372.jpg,3.833,2024-06-26T20:42:48.512031Z
adult,237,1,2024-06-26T20:42:53.948770Z,neutral_faces,female,738,/Users/almamidany/Desktop/labeled/neutral_faces/image0004416.jpg,5.284,2024-06-26T20:42:53.948795Z
adult,238,1,2024-06-26T20:42:58.280856Z,neutral_faces,male,739,/Users/almamidany/Desktop/labeled/neutral_faces/image0004558.jpg,4.181,2024-06-26T20:42:58.280881Z
adult,239,1,2024-06-26T20:43:04.999469Z,neutral_faces,male,740,/Users/almamidany/Desktop/labeled/neutral_faces/image0004600.jpg,6.567,2024-06-26T20:43:04.999532Z
adult,241,1,2024-06-26T20:43:13.814362Z,neutral_faces,male,742,/Users/almamidany/Desktop/labeled/neutral_faces/image0004765.jpg,4.157,2024-06-26T20:43:13.814385Z
adult,242,1,2024-06-26T20:43:17.761656Z,neutral_faces,male,743,/Users/almamidany/Desktop/labeled/neutral_faces/image0004772.jpg,3.801,2024-06-26T20:43:17.761683Z
adult,243,1,2024-06-26T20:43:21.813631Z,neutral_faces,male,744,/Users/almamidany/Desktop/labeled/neutral_faces/image0004823.jpg,3.901,2024-06-26T20:43:21.813654Z
adult,245,1,2024-06-26T20:43:31.365969Z,neutral_faces,female,746,/Users/almamidany/Desktop/labeled/neutral_faces/image0004955.jpg,3.916,2024-06-26T20:43:31.365992Z
adult,246,1,2024-06-26T20:43:36.061955Z,neutral_faces,female,747,/Users/almamidany/Desktop/labeled/neutral_faces/image0004992.jpg,4.545,2024-06-26T20:43:36.061981Z
adult,248,1,2024-06-26T20:43:49.278914Z,neutral_faces,male,749,/Users/almamidany/Desktop/labeled/neutral_faces/image0005133.jpg,9.233,2024-06-26T20:43:49.278938Z
adult,249,1,2024-06-26T20:43:53.895890Z,neutral_faces,male,750,/Users/almamidany/Desktop/labeled/neutral_faces/image0005242.jpg,4.459,2024-06-26T20:43:53.895915Z
adult,251,1,2024-06-26T20:44:02.678960Z,neutral_faces,female,752,/Users/almamidany/Desktop/labeled/neutral_faces/image0005283.jpg,4.329,2024-06-26T20:44:02.678986Z
adult,254,1,2024-06-26T20:44:32.777063Z,neutral_faces,male,755,/Users/almamidany/Desktop/labeled/neutral_faces/image0005481.jpg,21.36,2024-06-26T20:44:32.777086Z
adult,257,1,2024-06-26T20:46:20.224588Z,neutral_faces,female,758,/Users/almamidany/Desktop/labeled/neutral_faces/image0005645.jpg,3.869,2024-06-26T20:46:20.224610Z
adult,258,1,2024-06-26T20:46:27.509207Z,neutral_faces,male,759,/Users/almamidany/Desktop/labeled/neutral_faces/image0005694.jpg,7.131,2024-06-26T20:46:27.509232Z
adult,259,1,2024-06-26T20:46:31.475123Z,neutral_faces,female,760,/Users/almamidany/Desktop/labeled/neutral_faces/image0005695.jpg,3.811,2024-06-26T20:46:31.475145Z
adult,260,1,2024-06-26T20:46:37.589944Z,neutral_faces,female,761,/Users/almamidany/Desktop/labeled/neutral_faces/image0005859.jpg,5.961,2024-06-26T20:46:37.589969Z
adult,261,1,2024-06-26T20:46:41.756583Z,neutral_faces,female,762,/Users/almamidany/Desktop/labeled/neutral_faces/image0005915.jpg,4.012,2024-06-26T20:46:41.756609Z
