age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
teenager,64,1,2024-06-26T18:11:28.741114Z,angry_faces,female,163,/Users/almamidany/Desktop/labeled/angry_faces/image0000012.jpg,9.876,2024-06-26T18:12:18.650698Z
senior,66,1,2024-06-26T18:11:38.619665Z,angry_faces,female,165,/Users/almamidany/Desktop/labeled/angry_faces/image0000066.jpg,4.577,2024-06-26T18:11:38.619692Z
adult,68,1,2024-06-26T18:11:50.405364Z,angry_faces,female,167,/Users/almamidany/Desktop/labeled/angry_faces/image0000132.jpg,5.964,2024-06-26T18:11:50.405390Z
teenager,71,1,2024-06-26T18:13:13.918629Z,angry_faces,female,171,/Users/almamidany/Desktop/labeled/angry_faces/image0000346.jpg,4.246,2024-06-26T18:13:13.918655Z
teenager,72,1,2024-06-26T18:13:18.052514Z,angry_faces,female,172,/Users/almamidany/Desktop/labeled/angry_faces/image0000371.jpg,3.984,2024-06-26T18:13:18.052539Z
adult,73,1,2024-06-26T18:13:22.184138Z,angry_faces,female,173,/Users/almamidany/Desktop/labeled/angry_faces/image0000390.jpg,3.979,2024-06-26T18:13:22.184162Z
adult,82,1,2024-06-26T18:14:02.783998Z,angry_faces,female,182,/Users/almamidany/Desktop/labeled/angry_faces/image0000697.jpg,4.019,2024-06-26T18:14:02.784024Z
child,83,1,2024-06-26T18:14:07.232839Z,angry_faces,female,183,/Users/almamidany/Desktop/labeled/angry_faces/image0000758.jpg,4.298,2024-06-26T18:14:07.232896Z
adult,88,1,2024-06-26T18:17:27.602947Z,angry_faces,female,188,/Users/almamidany/Desktop/labeled/angry_faces/image0000965.jpg,181.703,2024-06-26T18:17:27.602975Z
senior,90,1,2024-06-26T18:17:36.608046Z,angry_faces,female,190,/Users/almamidany/Desktop/labeled/angry_faces/image0001061.jpg,3.99,2024-06-26T18:17:36.608072Z
teenager,91,1,2024-06-26T18:17:40.611024Z,angry_faces,female,191,/Users/almamidany/Desktop/labeled/angry_faces/image0001062.jpg,3.837,2024-06-26T18:17:40.611049Z
teenager,100,1,2024-06-26T18:18:20.357321Z,angry_faces,female,200,/Users/almamidany/Desktop/labeled/angry_faces/image0001375.jpg,4.527,2024-06-26T18:18:20.357348Z
adult,101,1,2024-06-26T18:18:27.694956Z,angry_faces,female,201,/Users/almamidany/Desktop/labeled/angry_faces/image0001516.jpg,7.171,2024-06-26T18:18:27.694982Z
adult,109,1,2024-06-26T18:19:05.745578Z,angry_faces,female,209,/Users/almamidany/Desktop/labeled/angry_faces/image0002532.jpg,5.87,2024-06-26T18:19:05.745606Z
adult,116,1,2024-06-26T18:19:47.805409Z,angry_faces,female,216,/Users/almamidany/Desktop/labeled/angry_faces/image0003411.jpg,5.811,2024-06-26T18:19:47.805440Z
teenager,119,1,2024-06-26T18:20:05.871627Z,angry_faces,female,219,/Users/almamidany/Desktop/labeled/angry_faces/image0003826.jpg,4.124,2024-06-26T18:20:05.871651Z
adult,122,1,2024-06-26T18:20:19.734746Z,angry_faces,female,222,/Users/almamidany/Desktop/labeled/angry_faces/image0004357.jpg,3.988,2024-06-26T18:20:19.734772Z
child,123,1,2024-06-26T18:20:24.035383Z,angry_faces,female,223,/Users/almamidany/Desktop/labeled/angry_faces/image0004445.jpg,4.128,2024-06-26T18:20:24.035410Z
child,128,1,2024-06-26T18:20:49.430921Z,angry_faces,female,228,/Users/almamidany/Desktop/labeled/angry_faces/image0004989.jpg,6.215,2024-06-26T18:20:49.430947Z
teenager,130,1,2024-06-26T18:20:58.268986Z,angry_faces,female,230,/Users/almamidany/Desktop/labeled/angry_faces/image0005303.jpg,4.026,2024-06-26T18:20:58.269010Z
teenager,131,1,2024-06-26T18:21:02.438783Z,angry_faces,female,231,/Users/almamidany/Desktop/labeled/angry_faces/image0005304.jpg,3.998,2024-06-26T18:21:02.438811Z
adult,138,1,2024-06-26T18:21:40.051672Z,angry_faces,female,238,/Users/almamidany/Desktop/labeled/angry_faces/image0006142.jpg,6.139,2024-06-26T18:21:40.051700Z
teenager,139,1,2024-06-26T18:21:45.376283Z,angry_faces,female,239,/Users/almamidany/Desktop/labeled/angry_faces/image0006147.jpg,5.158,2024-06-26T18:21:45.376308Z
child,140,1,2024-06-26T18:21:49.987766Z,angry_faces,female,240,/Users/almamidany/Desktop/labeled/angry_faces/image0006224.jpg,4.424,2024-06-26T18:21:49.987794Z
adult,147,1,2024-06-26T18:22:22.774104Z,angry_faces,female,247,/Users/almamidany/Desktop/labeled/angry_faces/image0006839.jpg,4.177,2024-06-26T18:22:22.774132Z
child,151,1,2024-06-26T18:22:42.505767Z,angry_faces,female,251,/Users/almamidany/Desktop/labeled/angry_faces/image0007271.jpg,4.249,2024-06-26T18:22:42.505795Z
senior,157,1,2024-06-26T18:23:09.820774Z,angry_faces,female,257,/Users/almamidany/Desktop/labeled/angry_faces/image0008900.jpg,4.293,2024-06-26T18:23:09.820799Z
adult,158,1,2024-06-26T18:23:14.737159Z,angry_faces,female,258,/Users/almamidany/Desktop/labeled/angry_faces/image0008970.jpg,4.736,2024-06-26T18:23:14.737184Z
adult,159,1,2024-06-26T18:23:19.172890Z,angry_faces,female,259,/Users/almamidany/Desktop/labeled/angry_faces/image0009099.jpg,4.269,2024-06-26T18:23:19.172932Z
child,161,1,2024-06-26T18:23:29.769816Z,angry_faces,female,261,/Users/almamidany/Desktop/labeled/angry_faces/image0009249.jpg,4.784,2024-06-26T18:23:29.769842Z
