age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,363,1,2024-06-26T22:08:25.684734Z,focused_faces,female,864,/Users/almamidany/Desktop/labeled/focused_faces/image0000021.jpg,4.501,2024-06-26T22:08:25.684759Z
teenager,366,1,2024-06-26T22:08:42.467208Z,focused_faces,female,867,/Users/almamidany/Desktop/labeled/focused_faces/image0000076.jpg,5.972,2024-06-26T22:08:42.467234Z
adult,368,1,2024-06-26T22:08:50.765822Z,focused_faces,female,869,/Users/almamidany/Desktop/labeled/focused_faces/image0000090.jpg,3.922,2024-06-26T22:08:50.765847Z
teenager,369,1,2024-06-26T22:08:54.701868Z,focused_faces,female,870,/Users/almamidany/Desktop/labeled/focused_faces/image0000299.jpg,3.646,2024-06-26T22:08:54.701912Z
adult,372,1,2024-06-26T22:09:08.551398Z,focused_faces,female,873,/Users/almamidany/Desktop/labeled/focused_faces/image0000443.jpg,4.985,2024-06-26T22:09:08.551422Z
adult,375,1,2024-06-26T22:09:23.717456Z,focused_faces,female,876,/Users/almamidany/Desktop/labeled/focused_faces/image0000632.jpg,4.691,2024-06-26T22:09:23.717481Z
adult,379,1,2024-06-26T22:09:42.434333Z,focused_faces,female,880,/Users/almamidany/Desktop/labeled/focused_faces/image0000838.jpg,3.991,2024-06-26T22:09:42.434358Z
senior,386,1,2024-06-26T22:17:45.876771Z,focused_faces,female,887,/Users/almamidany/Desktop/labeled/focused_faces/image0001094.jpg,4.668,2024-06-26T22:17:45.876796Z
child,388,1,2024-06-26T22:17:54.593053Z,focused_faces,female,889,/Users/almamidany/Desktop/labeled/focused_faces/image0001121.jpg,3.748,2024-06-26T22:17:54.593080Z
adult,390,1,2024-06-26T22:19:55.307009Z,focused_faces,female,891,/Users/almamidany/Desktop/labeled/focused_faces/image0001141.jpg,116.052,2024-06-26T22:19:55.307034Z
adult,394,1,2024-06-26T22:20:14.605140Z,focused_faces,female,895,/Users/almamidany/Desktop/labeled/focused_faces/image0001312.jpg,6.144,2024-06-26T22:20:14.605166Z
adult,395,1,2024-06-26T22:20:21.472516Z,focused_faces,female,896,/Users/almamidany/Desktop/labeled/focused_faces/image0001332.jpg,6.709,2024-06-26T22:20:21.472542Z
adult,396,1,2024-06-26T22:20:27.605848Z,focused_faces,female,897,/Users/almamidany/Desktop/labeled/focused_faces/image0001334.jpg,5.976,2024-06-26T22:20:27.605875Z
adult,397,1,2024-06-26T22:20:31.656426Z,focused_faces,female,898,/Users/almamidany/Desktop/labeled/focused_faces/image0001394.jpg,3.891,2024-06-26T22:20:31.656450Z
teenager,398,1,2024-06-26T22:20:36.187724Z,focused_faces,female,899,/Users/almamidany/Desktop/labeled/focused_faces/image0001440.jpg,4.373,2024-06-26T22:20:36.187750Z
teenager,399,1,2024-06-26T22:20:40.737245Z,focused_faces,female,900,/Users/almamidany/Desktop/labeled/focused_faces/image0001544.jpg,4.399,2024-06-26T22:20:40.737271Z
senior,400,1,2024-06-26T22:20:46.005552Z,focused_faces,female,901,/Users/almamidany/Desktop/labeled/focused_faces/image0001572.jpg,5.108,2024-06-26T22:20:46.005579Z
adult,402,1,2024-06-26T22:21:02.257257Z,focused_faces,female,903,/Users/almamidany/Desktop/labeled/focused_faces/image0001622.jpg,10.412,2024-06-26T22:21:02.257281Z
adult,403,1,2024-06-26T22:21:08.054047Z,focused_faces,female,904,/Users/almamidany/Desktop/labeled/focused_faces/image0001681.jpg,5.635,2024-06-26T22:21:08.054074Z
teenager,413,1,2024-06-26T22:22:01.489584Z,focused_faces,female,914,/Users/almamidany/Desktop/labeled/focused_faces/image0001803.jpg,7.736,2024-06-26T22:22:01.489608Z
child,419,1,2024-06-26T22:22:35.535602Z,focused_faces,female,920,/Users/almamidany/Desktop/labeled/focused_faces/image0001988.jpg,4.594,2024-06-26T22:22:35.535626Z
teenager,421,1,2024-06-26T22:22:57.305069Z,focused_faces,female,922,/Users/almamidany/Desktop/labeled/focused_faces/image0002065.jpg,13.841,2024-06-26T22:22:57.305096Z
adult,423,1,2024-06-26T22:23:11.222556Z,focused_faces,female,924,/Users/almamidany/Desktop/labeled/focused_faces/image0002376.jpg,5.547,2024-06-26T22:23:11.222582Z
adult,424,1,2024-06-26T22:23:19.033002Z,focused_faces,female,925,/Users/almamidany/Desktop/labeled/focused_faces/image0002394.jpg,7.653,2024-06-26T22:23:19.033027Z
teenager,425,1,2024-06-26T22:23:23.249030Z,focused_faces,female,926,/Users/almamidany/Desktop/labeled/focused_faces/image0002404.jpg,4.063,2024-06-26T22:23:23.249053Z
adult,426,1,2024-06-26T22:23:28.550890Z,focused_faces,female,927,/Users/almamidany/Desktop/labeled/focused_faces/image0002537.jpg,5.148,2024-06-26T22:23:28.550914Z
adult,431,1,2024-06-26T22:23:53.138885Z,focused_faces,female,932,/Users/almamidany/Desktop/labeled/focused_faces/image0002776.jpg,3.857,2024-06-26T22:23:53.138914Z
teenager,432,1,2024-06-26T22:23:57.166206Z,focused_faces,female,933,/Users/almamidany/Desktop/labeled/focused_faces/image0002781.jpg,3.87,2024-06-26T22:23:57.166230Z
