age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,262,1,2024-06-26T21:25:56.144370Z,happy_faces,female,763,/Users/almamidany/Desktop/labeled/happy_faces/image0000030.jpg,5.848,2024-06-26T21:25:56.144448Z
child,263,1,2024-06-26T21:26:01.055607Z,happy_faces,female,764,/Users/almamidany/Desktop/labeled/happy_faces/image0000072.jpg,4.705,2024-06-26T21:26:01.055641Z
adult,264,1,2024-06-26T21:26:06.066793Z,happy_faces,female,765,/Users/almamidany/Desktop/labeled/happy_faces/image0000089.jpg,4.793,2024-06-26T21:26:06.066828Z
adult,265,1,2024-06-26T21:26:12.109238Z,happy_faces,female,766,/Users/almamidany/Desktop/labeled/happy_faces/image0000102.jpg,5.815,2024-06-26T21:26:12.109270Z
child,268,1,2024-06-26T21:26:27.856376Z,happy_faces,female,769,/Users/almamidany/Desktop/labeled/happy_faces/image0000129.jpg,5.903,2024-06-26T21:26:27.856409Z
teenager,270,1,2024-06-26T21:26:37.275204Z,happy_faces,female,771,/Users/almamidany/Desktop/labeled/happy_faces/image0000136.jpg,4.927,2024-06-26T21:26:37.275237Z
teenager,272,1,2024-06-26T21:26:45.299268Z,happy_faces,female,773,/Users/almamidany/Desktop/labeled/happy_faces/image0000150.jpg,3.717,2024-06-26T21:26:45.299307Z
adult,276,1,2024-06-26T21:27:05.871832Z,happy_faces,female,777,/Users/almamidany/Desktop/labeled/happy_faces/image0000193.jpg,4.567,2024-06-26T21:27:05.871863Z
adult,277,1,2024-06-26T21:27:10.205311Z,happy_faces,female,778,/Users/almamidany/Desktop/labeled/happy_faces/image0000208.jpg,4.098,2024-06-26T21:27:10.205342Z
adult,279,1,2024-06-26T21:27:18.749448Z,happy_faces,female,780,/Users/almamidany/Desktop/labeled/happy_faces/image0000227.jpg,4.201,2024-06-26T21:27:18.749480Z
adult,282,1,2024-06-26T21:27:33.438839Z,happy_faces,female,783,/Users/almamidany/Desktop/labeled/happy_faces/image0000254.jpg,5.502,2024-06-26T21:27:33.438870Z
adult,283,1,2024-06-26T21:28:52.187872Z,happy_faces,female,784,/Users/almamidany/Desktop/labeled/happy_faces/image0000257.jpg,78.514,2024-06-26T21:28:52.187903Z
adult,284,1,2024-06-26T21:28:56.167258Z,happy_faces,female,785,/Users/almamidany/Desktop/labeled/happy_faces/image0000259.jpg,3.785,2024-06-26T21:28:56.167290Z
adult,286,1,2024-06-26T21:29:05.867440Z,happy_faces,female,787,/Users/almamidany/Desktop/labeled/happy_faces/image0000286.jpg,5.261,2024-06-26T21:29:05.867471Z
adult,288,1,2024-06-26T21:29:15.348904Z,happy_faces,female,789,/Users/almamidany/Desktop/labeled/happy_faces/image0000321.jpg,4.206,2024-06-26T21:29:15.348936Z
adult,289,1,2024-06-26T21:29:20.750101Z,happy_faces,female,790,/Users/almamidany/Desktop/labeled/happy_faces/image0000335.jpg,5.208,2024-06-26T21:29:20.750132Z
adult,290,1,2024-06-26T21:29:25.068449Z,happy_faces,female,791,/Users/almamidany/Desktop/labeled/happy_faces/image0000336.jpg,4.124,2024-06-26T21:29:25.068481Z
teenager,295,1,2024-06-26T21:29:47.095957Z,happy_faces,female,796,/Users/almamidany/Desktop/labeled/happy_faces/image0000393.jpg,3.67,2024-06-26T21:29:47.095988Z
teenager,296,1,2024-06-26T21:29:52.199953Z,happy_faces,female,797,/Users/almamidany/Desktop/labeled/happy_faces/image0000403.jpg,4.905,2024-06-26T21:29:52.199986Z
teenager,297,1,2024-06-26T21:29:56.562579Z,happy_faces,female,798,/Users/almamidany/Desktop/labeled/happy_faces/image0000404.jpg,4.169,2024-06-26T21:29:56.562612Z
adult,302,1,2024-06-26T21:30:21.799679Z,happy_faces,female,803,/Users/almamidany/Desktop/labeled/happy_faces/image0000476.jpg,6.835,2024-06-26T21:30:21.799712Z
senior,303,1,2024-06-26T21:30:26.007357Z,happy_faces,female,804,/Users/almamidany/Desktop/labeled/happy_faces/image0000482.jpg,3.989,2024-06-26T21:30:26.007390Z
adult,305,1,2024-06-26T21:30:46.048683Z,happy_faces,female,806,/Users/almamidany/Desktop/labeled/happy_faces/image0000495.jpg,15.47,2024-06-26T21:30:46.048714Z
child,306,1,2024-06-26T21:30:51.382775Z,happy_faces,female,807,/Users/almamidany/Desktop/labeled/happy_faces/image0000516.jpg,5.125,2024-06-26T21:30:51.382807Z
senior,308,1,2024-06-26T21:31:00.480843Z,happy_faces,female,809,/Users/almamidany/Desktop/labeled/happy_faces/image0000572.jpg,3.888,2024-06-26T21:31:00.480875Z
adult,309,1,2024-06-26T21:31:04.613310Z,happy_faces,female,810,/Users/almamidany/Desktop/labeled/happy_faces/image0000590.jpg,3.94,2024-06-26T21:31:04.613345Z
adult,310,1,2024-06-26T21:31:09.129760Z,happy_faces,female,811,/Users/almamidany/Desktop/labeled/happy_faces/image0000595.jpg,4.322,2024-06-26T21:31:09.129798Z
child,313,1,2024-06-26T21:31:24.096433Z,happy_faces,female,814,/Users/almamidany/Desktop/labeled/happy_faces/image0000619.jpg,4.17,2024-06-26T21:31:24.096468Z
senior,316,1,2024-06-26T21:31:37.730060Z,happy_faces,female,817,/Users/almamidany/Desktop/labeled/happy_faces/image0000712.jpg,4.835,2024-06-26T21:31:37.730099Z
adult,317,1,2024-06-26T21:31:42.077653Z,happy_faces,female,818,/Users/almamidany/Desktop/labeled/happy_faces/image0000719.jpg,4.153,2024-06-26T21:31:42.077685Z
senior,319,1,2024-06-26T21:31:52.611858Z,happy_faces,female,820,/Users/almamidany/Desktop/labeled/happy_faces/image0000733.jpg,3.901,2024-06-26T21:31:52.611890Z
adult,321,1,2024-06-26T21:32:03.063985Z,happy_faces,female,822,/Users/almamidany/Desktop/labeled/happy_faces/image0000747.jpg,5.068,2024-06-26T21:32:03.064017Z
adult,322,1,2024-06-26T21:32:07.617571Z,happy_faces,female,823,/Users/almamidany/Desktop/labeled/happy_faces/image0000748.jpg,4.352,2024-06-26T21:32:07.617603Z
teenager,323,1,2024-06-26T21:32:11.848820Z,happy_faces,female,824,/Users/almamidany/Desktop/labeled/happy_faces/image0000764.jpg,4.001,2024-06-26T21:32:11.848851Z
child,324,1,2024-06-26T21:32:17.947485Z,happy_faces,female,825,/Users/almamidany/Desktop/labeled/happy_faces/image0000769.jpg,5.901,2024-06-26T21:32:17.947517Z
adult,325,1,2024-06-26T21:32:22.860561Z,happy_faces,female,826,/Users/almamidany/Desktop/labeled/happy_faces/image0000793.jpg,4.718,2024-06-26T21:32:22.860594Z
adult,326,1,2024-06-26T21:32:27.095488Z,happy_faces,female,827,/Users/almamidany/Desktop/labeled/happy_faces/image0000794.jpg,4.039,2024-06-26T21:32:27.095520Z
adult,328,1,2024-06-26T21:32:35.830659Z,happy_faces,female,829,/Users/almamidany/Desktop/labeled/happy_faces/image0000873.jpg,4.686,2024-06-26T21:32:35.830692Z
child,329,1,2024-06-26T21:32:41.062858Z,happy_faces,female,830,/Users/almamidany/Desktop/labeled/happy_faces/image0000890.jpg,5.031,2024-06-26T21:32:41.062891Z
adult,332,1,2024-06-26T21:32:57.979157Z,happy_faces,female,833,/Users/almamidany/Desktop/labeled/happy_faces/image0000922.jpg,4.75,2024-06-26T21:32:57.979194Z
adult,334,1,2024-06-26T21:33:05.711079Z,happy_faces,female,835,/Users/almamidany/Desktop/labeled/happy_faces/image0001050.jpg,3.753,2024-06-26T21:33:05.711111Z
senior,336,1,2024-06-26T21:33:14.334641Z,happy_faces,female,837,/Users/almamidany/Desktop/labeled/happy_faces/image0001080.jpg,4.151,2024-06-26T21:33:14.334674Z
adult,338,1,2024-06-26T21:33:23.361678Z,happy_faces,female,839,/Users/almamidany/Desktop/labeled/happy_faces/image0001135.jpg,4.267,2024-06-26T21:33:23.361713Z
teenager,339,1,2024-06-26T21:33:27.560422Z,happy_faces,female,840,/Users/almamidany/Desktop/labeled/happy_faces/image0001137.jpg,4.0,2024-06-26T21:33:27.560455Z
teenager,340,1,2024-06-26T21:33:32.508812Z,happy_faces,female,841,/Users/almamidany/Desktop/labeled/happy_faces/image0001177.jpg,4.721,2024-06-26T21:33:32.508844Z
senior,342,1,2024-06-26T21:33:41.128650Z,happy_faces,female,843,/Users/almamidany/Desktop/labeled/happy_faces/image0001207.jpg,4.15,2024-06-26T21:33:41.128713Z
adult,344,1,2024-06-26T21:33:51.377252Z,happy_faces,female,845,/Users/almamidany/Desktop/labeled/happy_faces/image0001233.jpg,4.3,2024-06-26T21:33:51.377283Z
adult,345,1,2024-06-26T21:33:56.226977Z,happy_faces,female,846,/Users/almamidany/Desktop/labeled/happy_faces/image0001285.jpg,4.651,2024-06-26T21:33:56.227009Z
adult,349,1,2024-06-26T21:34:15.142041Z,happy_faces,female,850,/Users/almamidany/Desktop/labeled/happy_faces/image0001315.jpg,5.032,2024-06-26T21:34:15.142073Z
child,350,1,2024-06-26T21:34:20.027042Z,happy_faces,female,851,/Users/almamidany/Desktop/labeled/happy_faces/image0001326.jpg,4.676,2024-06-26T21:34:20.027073Z
child,351,1,2024-06-26T21:34:24.977730Z,happy_faces,female,852,/Users/almamidany/Desktop/labeled/happy_faces/image0001346.jpg,4.749,2024-06-26T21:34:24.977762Z
teenager,352,1,2024-06-26T21:34:32.194550Z,happy_faces,female,853,/Users/almamidany/Desktop/labeled/happy_faces/image0001409.jpg,7.009,2024-06-26T21:34:32.194584Z
adult,353,1,2024-06-26T21:34:37.861174Z,happy_faces,female,854,/Users/almamidany/Desktop/labeled/happy_faces/image0001430.jpg,5.462,2024-06-26T21:34:37.861207Z
adult,354,1,2024-06-26T21:34:41.825758Z,happy_faces,female,855,/Users/almamidany/Desktop/labeled/happy_faces/image0001442.jpg,3.761,2024-06-26T21:34:41.825793Z
senior,355,1,2024-06-26T21:34:46.084999Z,happy_faces,female,856,/Users/almamidany/Desktop/labeled/happy_faces/image0001485.jpg,4.046,2024-06-26T21:34:46.085052Z
adult,356,1,2024-06-26T21:34:51.659199Z,happy_faces,female,857,/Users/almamidany/Desktop/labeled/happy_faces/image0001496.jpg,5.36,2024-06-26T21:34:51.659231Z
teenager,357,1,2024-06-26T21:34:56.625859Z,happy_faces,female,858,/Users/almamidany/Desktop/labeled/happy_faces/image0001512.jpg,4.764,2024-06-26T21:34:56.625893Z
adult,358,1,2024-06-26T21:35:01.060568Z,happy_faces,female,859,/Users/almamidany/Desktop/labeled/happy_faces/image0001528.jpg,4.227,2024-06-26T21:35:01.060600Z
senior,359,1,2024-06-26T21:35:06.175894Z,happy_faces,female,860,/Users/almamidany/Desktop/labeled/happy_faces/image0001535.jpg,4.913,2024-06-26T21:35:06.175928Z
child,360,1,2024-06-26T21:35:10.293040Z,happy_faces,female,861,/Users/almamidany/Desktop/labeled/happy_faces/image0001541.jpg,3.913,2024-06-26T21:35:10.293074Z
adult,361,1,2024-06-26T21:35:18.260960Z,happy_faces,female,862,/Users/almamidany/Desktop/labeled/happy_faces/image0001585.jpg,7.765,2024-06-26T21:35:18.260991Z
