age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,162,1,2024-06-26T20:19:19.877562Z,neutral_faces,female,663,/Users/almamidany/Desktop/labeled/neutral_faces/image0000048.jpg,8.777,2024-06-26T20:19:19.877604Z
teenager,164,1,2024-06-26T20:19:28.843011Z,neutral_faces,female,665,/Users/almamidany/Desktop/labeled/neutral_faces/image0000304.jpg,4.23,2024-06-26T20:19:28.843037Z
teenager,166,1,2024-06-26T20:19:38.027122Z,neutral_faces,female,667,/Users/almamidany/Desktop/labeled/neutral_faces/image0000315.jpg,4.497,2024-06-26T20:19:38.027157Z
adult,167,1,2024-06-26T20:19:42.642284Z,neutral_faces,female,668,/Users/almamidany/Desktop/labeled/neutral_faces/image0000328.jpg,4.464,2024-06-26T20:19:42.642310Z
adult,172,1,2024-06-26T20:20:06.129005Z,neutral_faces,female,673,/Users/almamidany/Desktop/labeled/neutral_faces/image0000662.jpg,4.394,2024-06-26T20:20:06.129032Z
teenager,173,1,2024-06-26T20:20:12.597039Z,neutral_faces,female,674,/Users/almamidany/Desktop/labeled/neutral_faces/image0000664.jpg,6.292,2024-06-26T20:20:12.597064Z
adult,175,1,2024-06-26T20:23:50.013156Z,neutral_faces,female,676,/Users/almamidany/Desktop/labeled/neutral_faces/image0000672.jpg,8.182,2024-06-26T20:23:50.013178Z
adult,177,1,2024-06-26T20:23:59.645076Z,neutral_faces,female,678,/Users/almamidany/Desktop/labeled/neutral_faces/image0000846.jpg,4.333,2024-06-26T20:23:59.645100Z
teenager,180,1,2024-06-26T20:24:18.028365Z,neutral_faces,female,681,/Users/almamidany/Desktop/labeled/neutral_faces/image0000892.jpg,7.515,2024-06-26T20:24:18.028387Z
adult,183,1,2024-06-26T20:24:34.012804Z,neutral_faces,female,684,/Users/almamidany/Desktop/labeled/neutral_faces/image0000931.jpg,6.386,2024-06-26T20:24:34.012827Z
child,185,1,2024-06-26T20:24:43.310353Z,neutral_faces,female,686,/Users/almamidany/Desktop/labeled/neutral_faces/image0001156.jpg,4.319,2024-06-26T20:24:43.310380Z
teenager,187,1,2024-06-26T20:24:53.444489Z,neutral_faces,female,688,/Users/almamidany/Desktop/labeled/neutral_faces/image0001209.jpg,4.548,2024-06-26T20:24:53.444513Z
teenager,189,1,2024-06-26T20:25:04.811759Z,neutral_faces,female,690,/Users/almamidany/Desktop/labeled/neutral_faces/image0001344.jpg,6.451,2024-06-26T20:25:04.811784Z
senior,191,1,2024-06-26T20:25:14.375315Z,neutral_faces,female,692,/Users/almamidany/Desktop/labeled/neutral_faces/image0001356.jpg,4.933,2024-06-26T20:25:14.375338Z
adult,195,1,2024-06-26T20:25:34.359051Z,neutral_faces,female,696,/Users/almamidany/Desktop/labeled/neutral_faces/image0001597.jpg,3.864,2024-06-26T20:25:34.359075Z
adult,196,1,2024-06-26T20:25:41.325707Z,neutral_faces,female,697,/Users/almamidany/Desktop/labeled/neutral_faces/image0001744.jpg,6.813,2024-06-26T20:25:41.325731Z
child,198,1,2024-06-26T20:25:49.606533Z,neutral_faces,female,699,/Users/almamidany/Desktop/labeled/neutral_faces/image0001793.jpg,4.2,2024-06-26T20:25:49.606557Z
teenager,200,1,2024-06-26T20:26:00.775039Z,neutral_faces,female,701,/Users/almamidany/Desktop/labeled/neutral_faces/image0002073.jpg,5.743,2024-06-26T20:26:00.775064Z
adult,204,1,2024-06-26T20:26:25.006051Z,neutral_faces,female,705,/Users/almamidany/Desktop/labeled/neutral_faces/image0002313.jpg,4.88,2024-06-26T20:26:25.006076Z
child,206,1,2024-06-26T20:26:34.525327Z,neutral_faces,female,707,/Users/almamidany/Desktop/labeled/neutral_faces/image0002474.jpg,4.776,2024-06-26T20:26:34.525354Z
adult,208,1,2024-06-26T20:26:43.040289Z,neutral_faces,female,709,/Users/almamidany/Desktop/labeled/neutral_faces/image0002844.jpg,4.083,2024-06-26T20:26:43.040313Z
teenager,213,1,2024-06-26T20:40:04.755623Z,neutral_faces,female,714,/Users/almamidany/Desktop/labeled/neutral_faces/image0003153.jpg,7.172,2024-06-26T20:40:04.755648Z
adult,215,1,2024-06-26T20:40:14.555225Z,neutral_faces,female,716,/Users/almamidany/Desktop/labeled/neutral_faces/image0003190.jpg,4.771,2024-06-26T20:40:14.555248Z
adult,219,1,2024-06-26T20:40:33.516889Z,neutral_faces,female,720,/Users/almamidany/Desktop/labeled/neutral_faces/image0003343.jpg,4.018,2024-06-26T20:40:33.516913Z
adult,221,1,2024-06-26T20:40:43.527689Z,neutral_faces,female,722,/Users/almamidany/Desktop/labeled/neutral_faces/image0003378.jpg,5.254,2024-06-26T20:40:43.527717Z
adult,223,1,2024-06-26T20:40:52.502805Z,neutral_faces,female,724,/Users/almamidany/Desktop/labeled/neutral_faces/image0003545.jpg,4.156,2024-06-26T20:40:52.502830Z
teenager,224,1,2024-06-26T20:40:56.598303Z,neutral_faces,female,725,/Users/almamidany/Desktop/labeled/neutral_faces/image0003554.jpg,3.95,2024-06-26T20:40:56.598327Z
teenager,225,1,2024-06-26T20:41:00.716464Z,neutral_faces,female,726,/Users/almamidany/Desktop/labeled/neutral_faces/image0003595.jpg,3.969,2024-06-26T20:41:00.716488Z
adult,229,1,2024-06-26T20:42:09.944907Z,neutral_faces,female,730,/Users/almamidany/Desktop/labeled/neutral_faces/image0003750.jpg,55.427,2024-06-26T20:42:09.944930Z
teenager,231,1,2024-06-26T20:42:21.434091Z,neutral_faces,female,732,/Users/almamidany/Desktop/labeled/neutral_faces/image0003783.jpg,4.974,2024-06-26T20:42:21.434115Z
teenager,233,1,2024-06-26T20:42:33.586170Z,neutral_faces,female,734,/Users/almamidany/Desktop/labeled/neutral_faces/image0004171.jpg,5.317,2024-06-26T20:42:33.586201Z
adult,235,1,2024-06-26T20:42:44.532106Z,neutral_faces,female,736,/Users/almamidany/Desktop/labeled/neutral_faces/image0004366.jpg,6.464,2024-06-26T20:42:44.532129Z
adult,236,1,2024-06-26T20:42:48.512006Z,neutral_faces,female,737,/Users/almamidany/Desktop/labeled/neutral_faces/image0004372.jpg,3.833,2024-06-26T20:42:48.512031Z
adult,237,1,2024-06-26T20:42:53.948770Z,neutral_faces,female,738,/Users/almamidany/Desktop/labeled/neutral_faces/image0004416.jpg,5.284,2024-06-26T20:42:53.948795Z
teenager,244,1,2024-06-26T20:43:27.295634Z,neutral_faces,female,745,/Users/almamidany/Desktop/labeled/neutral_faces/image0004837.jpg,5.331,2024-06-26T20:43:27.295659Z
adult,245,1,2024-06-26T20:43:31.365969Z,neutral_faces,female,746,/Users/almamidany/Desktop/labeled/neutral_faces/image0004955.jpg,3.916,2024-06-26T20:43:31.365992Z
adult,246,1,2024-06-26T20:43:36.061955Z,neutral_faces,female,747,/Users/almamidany/Desktop/labeled/neutral_faces/image0004992.jpg,4.545,2024-06-26T20:43:36.061981Z
child,247,1,2024-06-26T20:43:39.877999Z,neutral_faces,female,748,/Users/almamidany/Desktop/labeled/neutral_faces/image0005052.jpg,3.66,2024-06-26T20:43:39.878026Z
teenager,250,1,2024-06-26T20:43:58.195586Z,neutral_faces,female,751,/Users/almamidany/Desktop/labeled/neutral_faces/image0005252.jpg,4.148,2024-06-26T20:43:58.195612Z
adult,251,1,2024-06-26T20:44:02.678960Z,neutral_faces,female,752,/Users/almamidany/Desktop/labeled/neutral_faces/image0005283.jpg,4.329,2024-06-26T20:44:02.678986Z
teenager,253,1,2024-06-26T20:44:11.262691Z,neutral_faces,female,754,/Users/almamidany/Desktop/labeled/neutral_faces/image0005336.jpg,3.783,2024-06-26T20:44:11.262715Z
adult,257,1,2024-06-26T20:46:20.224588Z,neutral_faces,female,758,/Users/almamidany/Desktop/labeled/neutral_faces/image0005645.jpg,3.869,2024-06-26T20:46:20.224610Z
adult,259,1,2024-06-26T20:46:31.475123Z,neutral_faces,female,760,/Users/almamidany/Desktop/labeled/neutral_faces/image0005695.jpg,3.811,2024-06-26T20:46:31.475145Z
adult,260,1,2024-06-26T20:46:37.589944Z,neutral_faces,female,761,/Users/almamidany/Desktop/labeled/neutral_faces/image0005859.jpg,5.961,2024-06-26T20:46:37.589969Z
adult,261,1,2024-06-26T20:46:41.756583Z,neutral_faces,female,762,/Users/almamidany/Desktop/labeled/neutral_faces/image0005915.jpg,4.012,2024-06-26T20:46:41.756609Z
