age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
child,362,1,2024-06-26T22:08:21.035599Z,focused_faces,male,863,/Users/almamidany/Desktop/labeled/focused_faces/image0000002.jpg,5.988,2024-06-26T22:08:21.035622Z
adult,364,1,2024-06-26T22:08:30.910386Z,focused_faces,male,865,/Users/almamidany/Desktop/labeled/focused_faces/image0000025.jpg,5.068,2024-06-26T22:08:30.910418Z
adult,365,1,2024-06-26T22:08:36.350874Z,focused_faces,male,866,/Users/almamidany/Desktop/labeled/focused_faces/image0000031.jpg,5.281,2024-06-26T22:08:36.350897Z
teenager,367,1,2024-06-26T22:08:46.700456Z,focused_faces,male,868,/Users/almamidany/Desktop/labeled/focused_faces/image0000088.jpg,4.083,2024-06-26T22:08:46.700484Z
adult,370,1,2024-06-26T22:08:59.297214Z,focused_faces,male,871,/Users/almamidany/Desktop/labeled/focused_faces/image0000340.jpg,4.448,2024-06-26T22:08:59.297239Z
adult,371,1,2024-06-26T22:09:03.417338Z,focused_faces,male,872,/Users/almamidany/Desktop/labeled/focused_faces/image0000388.jpg,3.972,2024-06-26T22:09:03.417363Z
adult,373,1,2024-06-26T22:09:12.551171Z,focused_faces,male,874,/Users/almamidany/Desktop/labeled/focused_faces/image0000458.jpg,3.853,2024-06-26T22:09:12.551193Z
adult,374,1,2024-06-26T22:09:18.853023Z,focused_faces,male,875,/Users/almamidany/Desktop/labeled/focused_faces/image0000506.jpg,6.152,2024-06-26T22:09:18.853056Z
adult,376,1,2024-06-26T22:09:30.482823Z,focused_faces,male,877,/Users/almamidany/Desktop/labeled/focused_faces/image0000673.jpg,6.618,2024-06-26T22:09:30.482848Z
adult,377,1,2024-06-26T22:09:34.501081Z,focused_faces,male,878,/Users/almamidany/Desktop/labeled/focused_faces/image0000678.jpg,3.87,2024-06-26T22:09:34.501106Z
adult,378,1,2024-06-26T22:09:38.297218Z,focused_faces,male,879,/Users/almamidany/Desktop/labeled/focused_faces/image0000753.jpg,3.649,2024-06-26T22:09:38.297240Z
senior,380,1,2024-06-26T22:09:47.416327Z,focused_faces,male,881,/Users/almamidany/Desktop/labeled/focused_faces/image0000881.jpg,4.83,2024-06-26T22:09:47.416351Z
senior,381,1,2024-06-26T22:09:51.565144Z,focused_faces,male,882,/Users/almamidany/Desktop/labeled/focused_faces/image0001024.jpg,3.997,2024-06-26T22:09:51.565170Z
adult,382,1,2024-06-26T22:09:55.899416Z,focused_faces,male,883,/Users/almamidany/Desktop/labeled/focused_faces/image0001027.jpg,4.189,2024-06-26T22:09:55.899440Z
adult,383,1,2024-06-26T22:17:31.760720Z,focused_faces,male,884,/Users/almamidany/Desktop/labeled/focused_faces/image0001053.jpg,455.676,2024-06-26T22:17:31.760745Z
adult,384,1,2024-06-26T22:17:36.509381Z,focused_faces,male,885,/Users/almamidany/Desktop/labeled/focused_faces/image0001084.jpg,4.588,2024-06-26T22:17:36.509406Z
adult,385,1,2024-06-26T22:17:41.036736Z,focused_faces,male,886,/Users/almamidany/Desktop/labeled/focused_faces/image0001090.jpg,4.358,2024-06-26T22:17:41.036776Z
adult,387,1,2024-06-26T22:17:50.677434Z,focused_faces,male,888,/Users/almamidany/Desktop/labeled/focused_faces/image0001104.jpg,4.641,2024-06-26T22:17:50.677461Z
teenager,389,1,2024-06-26T22:17:59.060251Z,focused_faces,male,890,/Users/almamidany/Desktop/labeled/focused_faces/image0001123.jpg,4.306,2024-06-26T22:17:59.060277Z
adult,391,1,2024-06-26T22:20:00.190421Z,focused_faces,male,892,/Users/almamidany/Desktop/labeled/focused_faces/image0001166.jpg,4.719,2024-06-26T22:20:00.190446Z
adult,392,1,2024-06-26T22:20:04.138186Z,focused_faces,male,893,/Users/almamidany/Desktop/labeled/focused_faces/image0001182.jpg,3.789,2024-06-26T22:20:04.138212Z
senior,393,1,2024-06-26T22:20:08.306378Z,focused_faces,male,894,/Users/almamidany/Desktop/labeled/focused_faces/image0001200.jpg,4.009,2024-06-26T22:20:08.306404Z
adult,401,1,2024-06-26T22:20:51.687334Z,focused_faces,male,902,/Users/almamidany/Desktop/labeled/focused_faces/image0001593.jpg,5.526,2024-06-26T22:20:51.687360Z
adult,404,1,2024-06-26T22:21:12.819304Z,focused_faces,male,905,/Users/almamidany/Desktop/labeled/focused_faces/image0001682.jpg,4.612,2024-06-26T22:21:12.819329Z
senior,405,1,2024-06-26T22:21:17.787073Z,focused_faces,male,906,/Users/almamidany/Desktop/labeled/focused_faces/image0001691.jpg,4.813,2024-06-26T22:21:17.787100Z
senior,406,1,2024-06-26T22:21:21.959026Z,focused_faces,male,907,/Users/almamidany/Desktop/labeled/focused_faces/image0001754.jpg,4.008,2024-06-26T22:21:21.959063Z
teenager,407,1,2024-06-26T22:21:26.206576Z,focused_faces,male,908,/Users/almamidany/Desktop/labeled/focused_faces/image0001760.jpg,4.072,2024-06-26T22:21:26.206607Z
adult,408,1,2024-06-26T22:21:31.788260Z,focused_faces,male,909,/Users/almamidany/Desktop/labeled/focused_faces/image0001764.jpg,5.424,2024-06-26T22:21:31.788287Z
adult,409,1,2024-06-26T22:21:36.508504Z,focused_faces,male,910,/Users/almamidany/Desktop/labeled/focused_faces/image0001782.jpg,4.56,2024-06-26T22:21:36.508534Z
adult,410,1,2024-06-26T22:21:40.872926Z,focused_faces,male,911,/Users/almamidany/Desktop/labeled/focused_faces/image0001783.jpg,4.19,2024-06-26T22:21:40.872950Z
adult,411,1,2024-06-26T22:21:45.092617Z,focused_faces,male,912,/Users/almamidany/Desktop/labeled/focused_faces/image0001787.jpg,4.034,2024-06-26T22:21:45.092644Z
teenager,412,1,2024-06-26T22:21:53.587173Z,focused_faces,male,913,/Users/almamidany/Desktop/labeled/focused_faces/image0001802.jpg,8.338,2024-06-26T22:21:53.587197Z
adult,414,1,2024-06-26T22:22:06.703176Z,focused_faces,male,915,/Users/almamidany/Desktop/labeled/focused_faces/image0001822.jpg,5.047,2024-06-26T22:22:06.703200Z
teenager,415,1,2024-06-26T22:22:14.339244Z,focused_faces,male,916,/Users/almamidany/Desktop/labeled/focused_faces/image0001825.jpg,7.473,2024-06-26T22:22:14.339269Z
senior,416,1,2024-06-26T22:22:18.402185Z,focused_faces,male,917,/Users/almamidany/Desktop/labeled/focused_faces/image0001829.jpg,3.902,2024-06-26T22:22:18.402211Z
senior,417,1,2024-06-26T22:22:25.569442Z,focused_faces,male,918,/Users/almamidany/Desktop/labeled/focused_faces/image0001839.jpg,7.012,2024-06-26T22:22:25.569470Z
adult,418,1,2024-06-26T22:22:30.785679Z,focused_faces,male,919,/Users/almamidany/Desktop/labeled/focused_faces/image0001928.jpg,5.061,2024-06-26T22:22:30.785704Z
senior,420,1,2024-06-26T22:22:43.302057Z,focused_faces,male,921,/Users/almamidany/Desktop/labeled/focused_faces/image0002027.jpg,7.608,2024-06-26T22:22:43.302132Z
adult,422,1,2024-06-26T22:23:05.504894Z,focused_faces,male,923,/Users/almamidany/Desktop/labeled/focused_faces/image0002287.jpg,8.024,2024-06-26T22:23:05.504920Z
senior,427,1,2024-06-26T22:23:33.703667Z,focused_faces,male,928,/Users/almamidany/Desktop/labeled/focused_faces/image0002658.jpg,4.996,2024-06-26T22:23:33.703692Z
senior,428,1,2024-06-26T22:23:39.084649Z,focused_faces,male,929,/Users/almamidany/Desktop/labeled/focused_faces/image0002700.jpg,5.221,2024-06-26T22:23:39.084674Z
adult,429,1,2024-06-26T22:23:44.270380Z,focused_faces,male,930,/Users/almamidany/Desktop/labeled/focused_faces/image0002741.jpg,5.029,2024-06-26T22:23:44.270405Z
adult,430,1,2024-06-26T22:23:49.116179Z,focused_faces,male,931,/Users/almamidany/Desktop/labeled/focused_faces/image0002763.jpg,4.69,2024-06-26T22:23:49.116203Z
teenager,433,1,2024-06-26T22:24:02.966936Z,focused_faces,male,934,/Users/almamidany/Desktop/labeled/focused_faces/image0002786.jpg,5.645,2024-06-26T22:24:02.966960Z
adult,435,1,2024-06-26T22:24:13.268371Z,focused_faces,male,936,/Users/almamidany/Desktop/labeled/focused_faces/image0002880.jpg,5.252,2024-06-26T22:24:13.268395Z
adult,436,1,2024-06-26T22:24:17.549591Z,focused_faces,male,937,/Users/almamidany/Desktop/labeled/focused_faces/image0002919.jpg,4.125,2024-06-26T22:24:17.549616Z
senior,437,1,2024-06-26T22:24:22.387557Z,focused_faces,male,938,/Users/almamidany/Desktop/labeled/focused_faces/image0003029.jpg,4.678,2024-06-26T22:24:22.387583Z
adult,438,1,2024-06-26T22:24:37.569998Z,focused_faces,male,939,/Users/almamidany/Desktop/labeled/focused_faces/image0003062.jpg,15.011,2024-06-26T22:24:37.570022Z
adult,439,1,2024-06-26T22:24:48.503781Z,focused_faces,male,940,/Users/almamidany/Desktop/labeled/focused_faces/image0003069.jpg,10.567,2024-06-26T22:24:48.503825Z
adult,440,1,2024-06-26T22:24:55.933504Z,focused_faces,male,941,/Users/almamidany/Desktop/labeled/focused_faces/image0003076.jpg,7.221,2024-06-26T22:24:55.933542Z
adult,441,1,2024-06-26T22:25:00.533849Z,focused_faces,male,942,/Users/almamidany/Desktop/labeled/focused_faces/image0003104.jpg,4.439,2024-06-26T22:25:00.533872Z
adult,442,1,2024-06-26T22:25:08.199600Z,focused_faces,male,943,/Users/almamidany/Desktop/labeled/focused_faces/image0003371.jpg,7.509,2024-06-26T22:25:08.199625Z
adult,443,1,2024-06-26T22:25:15.849415Z,focused_faces,male,944,/Users/almamidany/Desktop/labeled/focused_faces/image0003419.jpg,7.488,2024-06-26T22:25:15.849440Z
senior,444,1,2024-06-26T22:25:20.548546Z,focused_faces,male,945,/Users/almamidany/Desktop/labeled/focused_faces/image0003508.jpg,4.539,2024-06-26T22:25:20.548569Z
adult,445,1,2024-06-26T22:25:26.101524Z,focused_faces,male,946,/Users/almamidany/Desktop/labeled/focused_faces/image0003557.jpg,5.376,2024-06-26T22:25:26.101547Z
adult,446,1,2024-06-26T22:25:34.767519Z,focused_faces,male,947,/Users/almamidany/Desktop/labeled/focused_faces/image0003580.jpg,8.498,2024-06-26T22:25:34.767543Z
adult,451,1,2024-06-26T22:26:02.647505Z,focused_faces,male,952,/Users/almamidany/Desktop/labeled/focused_faces/image0003633.jpg,4.589,2024-06-26T22:26:02.647530Z
adult,452,1,2024-06-26T22:26:06.846792Z,focused_faces,male,953,/Users/almamidany/Desktop/labeled/focused_faces/image0003673.jpg,4.042,2024-06-26T22:26:06.846817Z
adult,453,1,2024-06-26T22:26:12.667218Z,focused_faces,male,954,/Users/almamidany/Desktop/labeled/focused_faces/image0003719.jpg,5.662,2024-06-26T22:26:12.667242Z
senior,454,1,2024-06-26T22:26:18.283316Z,focused_faces,male,955,/Users/almamidany/Desktop/labeled/focused_faces/image0003768.jpg,5.452,2024-06-26T22:26:18.283340Z
adult,455,1,2024-06-26T22:26:22.432375Z,focused_faces,male,956,/Users/almamidany/Desktop/labeled/focused_faces/image0003784.jpg,3.99,2024-06-26T22:26:22.432400Z
adult,456,1,2024-06-26T22:26:34.898729Z,focused_faces,male,957,/Users/almamidany/Desktop/labeled/focused_faces/image0003787.jpg,12.306,2024-06-26T22:26:34.898754Z
adult,458,1,2024-06-26T22:26:52.657050Z,focused_faces,male,959,/Users/almamidany/Desktop/labeled/focused_faces/image0003942.jpg,12.274,2024-06-26T22:26:52.657077Z
adult,460,1,2024-06-26T22:27:01.779840Z,focused_faces,male,961,/Users/almamidany/Desktop/labeled/focused_faces/image0004001.jpg,4.723,2024-06-26T22:27:01.779865Z
adult,461,1,2024-06-26T22:27:06.533341Z,focused_faces,male,962,/Users/almamidany/Desktop/labeled/focused_faces/image0004158.jpg,4.589,2024-06-26T22:27:06.533368Z
