age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,266,1,2024-06-26T21:26:16.524548Z,happy_faces,male,767,/Users/almamidany/Desktop/labeled/happy_faces/image0000115.jpg,4.206,2024-06-26T21:26:16.524580Z
adult,267,1,2024-06-26T21:26:21.740574Z,happy_faces,male,768,/Users/almamidany/Desktop/labeled/happy_faces/image0000119.jpg,5.008,2024-06-26T21:26:21.740609Z
teenager,269,1,2024-06-26T21:26:32.138532Z,happy_faces,male,770,/Users/almamidany/Desktop/labeled/happy_faces/image0000131.jpg,4.085,2024-06-26T21:26:32.138565Z
child,271,1,2024-06-26T21:26:41.371603Z,happy_faces,male,772,/Users/almamidany/Desktop/labeled/happy_faces/image0000142.jpg,3.895,2024-06-26T21:26:41.371636Z
senior,273,1,2024-06-26T21:26:51.254476Z,happy_faces,male,774,/Users/almamidany/Desktop/labeled/happy_faces/image0000172.jpg,5.736,2024-06-26T21:26:51.254509Z
adult,274,1,2024-06-26T21:26:56.027375Z,happy_faces,male,775,/Users/almamidany/Desktop/labeled/happy_faces/image0000181.jpg,4.546,2024-06-26T21:26:56.027407Z
adult,275,1,2024-06-26T21:27:01.101471Z,happy_faces,male,776,/Users/almamidany/Desktop/labeled/happy_faces/image0000192.jpg,4.857,2024-06-26T21:27:01.101504Z
teenager,278,1,2024-06-26T21:27:14.351838Z,happy_faces,male,779,/Users/almamidany/Desktop/labeled/happy_faces/image0000209.jpg,3.947,2024-06-26T21:27:14.351872Z
senior,280,1,2024-06-26T21:27:23.021687Z,happy_faces,male,781,/Users/almamidany/Desktop/labeled/happy_faces/image0000234.jpg,4.065,2024-06-26T21:27:23.021723Z
senior,281,1,2024-06-26T21:27:27.735879Z,happy_faces,male,782,/Users/almamidany/Desktop/labeled/happy_faces/image0000249.jpg,4.506,2024-06-26T21:27:27.735911Z
adult,285,1,2024-06-26T21:29:00.415548Z,happy_faces,male,786,/Users/almamidany/Desktop/labeled/happy_faces/image0000265.jpg,4.055,2024-06-26T21:29:00.415579Z
adult,287,1,2024-06-26T21:29:10.947797Z,happy_faces,male,788,/Users/almamidany/Desktop/labeled/happy_faces/image0000317.jpg,4.879,2024-06-26T21:29:10.947829Z
senior,291,1,2024-06-26T21:29:29.296955Z,happy_faces,male,792,/Users/almamidany/Desktop/labeled/happy_faces/image0000341.jpg,4.035,2024-06-26T21:29:29.296987Z
adult,292,1,2024-06-26T21:29:33.532718Z,happy_faces,male,793,/Users/almamidany/Desktop/labeled/happy_faces/image0000349.jpg,4.039,2024-06-26T21:29:33.532751Z
adult,293,1,2024-06-26T21:29:38.214933Z,happy_faces,male,794,/Users/almamidany/Desktop/labeled/happy_faces/image0000376.jpg,4.488,2024-06-26T21:29:38.214965Z
adult,294,1,2024-06-26T21:29:43.232373Z,happy_faces,male,795,/Users/almamidany/Desktop/labeled/happy_faces/image0000386.jpg,4.823,2024-06-26T21:29:43.232405Z
adult,298,1,2024-06-26T21:30:01.014538Z,happy_faces,male,799,/Users/almamidany/Desktop/labeled/happy_faces/image0000411.jpg,4.259,2024-06-26T21:30:01.014575Z
adult,299,1,2024-06-26T21:30:06.780559Z,happy_faces,male,800,/Users/almamidany/Desktop/labeled/happy_faces/image0000459.jpg,5.574,2024-06-26T21:30:06.780671Z
senior,300,1,2024-06-26T21:30:10.832219Z,happy_faces,male,801,/Users/almamidany/Desktop/labeled/happy_faces/image0000460.jpg,3.858,2024-06-26T21:30:10.832252Z
senior,301,1,2024-06-26T21:30:14.763640Z,happy_faces,male,802,/Users/almamidany/Desktop/labeled/happy_faces/image0000475.jpg,3.738,2024-06-26T21:30:14.763673Z
adult,304,1,2024-06-26T21:30:30.380730Z,happy_faces,male,805,/Users/almamidany/Desktop/labeled/happy_faces/image0000487.jpg,4.177,2024-06-26T21:30:30.380761Z
child,307,1,2024-06-26T21:30:56.396815Z,happy_faces,male,808,/Users/almamidany/Desktop/labeled/happy_faces/image0000538.jpg,4.82,2024-06-26T21:30:56.396847Z
adult,311,1,2024-06-26T21:31:13.948338Z,happy_faces,male,812,/Users/almamidany/Desktop/labeled/happy_faces/image0000606.jpg,4.623,2024-06-26T21:31:13.948371Z
senior,312,1,2024-06-26T21:31:19.730568Z,happy_faces,male,813,/Users/almamidany/Desktop/labeled/happy_faces/image0000611.jpg,5.589,2024-06-26T21:31:19.730600Z
adult,314,1,2024-06-26T21:31:28.446034Z,happy_faces,male,815,/Users/almamidany/Desktop/labeled/happy_faces/image0000658.jpg,4.148,2024-06-26T21:31:28.446068Z
adult,315,1,2024-06-26T21:31:32.695637Z,happy_faces,male,816,/Users/almamidany/Desktop/labeled/happy_faces/image0000711.jpg,4.056,2024-06-26T21:31:32.695671Z
adult,318,1,2024-06-26T21:31:48.514682Z,happy_faces,male,819,/Users/almamidany/Desktop/labeled/happy_faces/image0000728.jpg,6.242,2024-06-26T21:31:48.514714Z
teenager,320,1,2024-06-26T21:31:57.795949Z,happy_faces,male,821,/Users/almamidany/Desktop/labeled/happy_faces/image0000744.jpg,4.987,2024-06-26T21:31:57.795984Z
adult,327,1,2024-06-26T21:32:30.945168Z,happy_faces,male,828,/Users/almamidany/Desktop/labeled/happy_faces/image0000817.jpg,3.655,2024-06-26T21:32:30.945199Z
adult,330,1,2024-06-26T21:32:47.911656Z,happy_faces,male,831,/Users/almamidany/Desktop/labeled/happy_faces/image0000903.jpg,6.648,2024-06-26T21:32:47.911690Z
adult,331,1,2024-06-26T21:32:53.028424Z,happy_faces,male,832,/Users/almamidany/Desktop/labeled/happy_faces/image0000913.jpg,4.902,2024-06-26T21:32:53.028456Z
adult,333,1,2024-06-26T21:33:01.760480Z,happy_faces,male,834,/Users/almamidany/Desktop/labeled/happy_faces/image0001034.jpg,3.585,2024-06-26T21:33:01.760512Z
adult,335,1,2024-06-26T21:33:09.977432Z,happy_faces,male,836,/Users/almamidany/Desktop/labeled/happy_faces/image0001073.jpg,4.067,2024-06-26T21:33:09.977464Z
teenager,337,1,2024-06-26T21:33:18.894774Z,happy_faces,male,838,/Users/almamidany/Desktop/labeled/happy_faces/image0001108.jpg,4.359,2024-06-26T21:33:18.894806Z
adult,341,1,2024-06-26T21:33:36.776709Z,happy_faces,male,842,/Users/almamidany/Desktop/labeled/happy_faces/image0001189.jpg,4.066,2024-06-26T21:33:36.776742Z
senior,346,1,2024-06-26T21:34:01.145840Z,happy_faces,male,847,/Users/almamidany/Desktop/labeled/happy_faces/image0001289.jpg,4.717,2024-06-26T21:34:01.145872Z
child,347,1,2024-06-26T21:34:05.525252Z,happy_faces,male,848,/Users/almamidany/Desktop/labeled/happy_faces/image0001293.jpg,4.184,2024-06-26T21:34:05.525285Z
adult,348,1,2024-06-26T21:34:09.909438Z,happy_faces,male,849,/Users/almamidany/Desktop/labeled/happy_faces/image0001299.jpg,4.182,2024-06-26T21:34:09.909470Z
