age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,163,1,2024-06-26T20:19:24.463022Z,neutral_faces,male,664,/Users/almamidany/Desktop/labeled/neutral_faces/image0000272.jpg,4.323,2024-06-26T20:19:24.463048Z
teenager,165,1,2024-06-26T20:19:33.380565Z,neutral_faces,male,666,/Users/almamidany/Desktop/labeled/neutral_faces/image0000306.jpg,4.382,2024-06-26T20:19:33.380589Z
adult,168,1,2024-06-26T20:19:47.478347Z,neutral_faces,male,669,/Users/almamidany/Desktop/labeled/neutral_faces/image0000329.jpg,4.685,2024-06-26T20:19:47.478371Z
adult,169,1,2024-06-26T20:19:52.290989Z,neutral_faces,male,670,/Users/almamidany/Desktop/labeled/neutral_faces/image0000489.jpg,4.663,2024-06-26T20:19:52.291060Z
senior,170,1,2024-06-26T20:19:57.110840Z,neutral_faces,male,671,/Users/almamidany/Desktop/labeled/neutral_faces/image0000517.jpg,4.666,2024-06-26T20:19:57.110865Z
adult,171,1,2024-06-26T20:20:01.574492Z,neutral_faces,male,672,/Users/almamidany/Desktop/labeled/neutral_faces/image0000661.jpg,4.315,2024-06-26T20:20:01.574516Z
adult,174,1,2024-06-26T20:23:41.679391Z,neutral_faces,male,675,/Users/almamidany/Desktop/labeled/neutral_faces/image0000666.jpg,208.777,2024-06-26T20:23:41.679414Z
adult,176,1,2024-06-26T20:23:55.160796Z,neutral_faces,male,677,/Users/almamidany/Desktop/labeled/neutral_faces/image0000738.jpg,4.997,2024-06-26T20:23:55.160821Z
child,178,1,2024-06-26T20:24:03.824476Z,neutral_faces,male,679,/Users/almamidany/Desktop/labeled/neutral_faces/image0000856.jpg,4.033,2024-06-26T20:24:03.824501Z
teenager,179,1,2024-06-26T20:24:10.362281Z,neutral_faces,male,680,/Users/almamidany/Desktop/labeled/neutral_faces/image0000884.jpg,6.39,2024-06-26T20:24:10.362305Z
adult,181,1,2024-06-26T20:24:22.627705Z,neutral_faces,male,682,/Users/almamidany/Desktop/labeled/neutral_faces/image0000894.jpg,4.441,2024-06-26T20:24:22.627731Z
