age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
teenager,164,1,2024-06-26T20:19:28.843011Z,neutral_faces,female,665,/Users/almamidany/Desktop/labeled/neutral_faces/image0000304.jpg,4.23,2024-06-26T20:19:28.843037Z
teenager,165,1,2024-06-26T20:19:33.380565Z,neutral_faces,male,666,/Users/almamidany/Desktop/labeled/neutral_faces/image0000306.jpg,4.382,2024-06-26T20:19:33.380589Z
teenager,166,1,2024-06-26T20:19:38.027122Z,neutral_faces,female,667,/Users/almamidany/Desktop/labeled/neutral_faces/image0000315.jpg,4.497,2024-06-26T20:19:38.027157Z
teenager,173,1,2024-06-26T20:20:12.597039Z,neutral_faces,female,674,/Users/almamidany/Desktop/labeled/neutral_faces/image0000664.jpg,6.292,2024-06-26T20:20:12.597064Z
teenager,179,1,2024-06-26T20:24:10.362281Z,neutral_faces,male,680,/Users/almamidany/Desktop/labeled/neutral_faces/image0000884.jpg,6.39,2024-06-26T20:24:10.362305Z
teenager,180,1,2024-06-26T20:24:18.028365Z,neutral_faces,female,681,/Users/almamidany/Desktop/labeled/neutral_faces/image0000892.jpg,7.515,2024-06-26T20:24:18.028387Z
teenager,187,1,2024-06-26T20:24:53.444489Z,neutral_faces,female,688,/Users/almamidany/Desktop/labeled/neutral_faces/image0001209.jpg,4.548,2024-06-26T20:24:53.444513Z
teenager,189,1,2024-06-26T20:25:04.811759Z,neutral_faces,female,690,/Users/almamidany/Desktop/labeled/neutral_faces/image0001344.jpg,6.451,2024-06-26T20:25:04.811784Z
teenager,200,1,2024-06-26T20:26:00.775039Z,neutral_faces,female,701,/Users/almamidany/Desktop/labeled/neutral_faces/image0002073.jpg,5.743,2024-06-26T20:26:00.775064Z
teenager,207,1,2024-06-26T20:26:38.791092Z,neutral_faces,male,708,/Users/almamidany/Desktop/labeled/neutral_faces/image0002502.jpg,3.965,2024-06-26T20:26:38.791123Z
teenager,213,1,2024-06-26T20:40:04.755623Z,neutral_faces,female,714,/Users/almamidany/Desktop/labeled/neutral_faces/image0003153.jpg,7.172,2024-06-26T20:40:04.755648Z
teenager,224,1,2024-06-26T20:40:56.598303Z,neutral_faces,female,725,/Users/almamidany/Desktop/labeled/neutral_faces/image0003554.jpg,3.95,2024-06-26T20:40:56.598327Z
teenager,225,1,2024-06-26T20:41:00.716464Z,neutral_faces,female,726,/Users/almamidany/Desktop/labeled/neutral_faces/image0003595.jpg,3.969,2024-06-26T20:41:00.716488Z
teenager,231,1,2024-06-26T20:42:21.434091Z,neutral_faces,female,732,/Users/almamidany/Desktop/labeled/neutral_faces/image0003783.jpg,4.974,2024-06-26T20:42:21.434115Z
teenager,233,1,2024-06-26T20:42:33.586170Z,neutral_faces,female,734,/Users/almamidany/Desktop/labeled/neutral_faces/image0004171.jpg,5.317,2024-06-26T20:42:33.586201Z
teenager,240,1,2024-06-26T20:43:09.496095Z,neutral_faces,male,741,/Users/almamidany/Desktop/labeled/neutral_faces/image0004748.jpg,4.327,2024-06-26T20:43:09.496120Z
teenager,244,1,2024-06-26T20:43:27.295634Z,neutral_faces,female,745,/Users/almamidany/Desktop/labeled/neutral_faces/image0004837.jpg,5.331,2024-06-26T20:43:27.295659Z
teenager,250,1,2024-06-26T20:43:58.195586Z,neutral_faces,female,751,/Users/almamidany/Desktop/labeled/neutral_faces/image0005252.jpg,4.148,2024-06-26T20:43:58.195612Z
teenager,253,1,2024-06-26T20:44:11.262691Z,neutral_faces,female,754,/Users/almamidany/Desktop/labeled/neutral_faces/image0005336.jpg,3.783,2024-06-26T20:44:11.262715Z
teenager,255,1,2024-06-26T20:46:11.871706Z,neutral_faces,male,756,/Users/almamidany/Desktop/labeled/neutral_faces/image0005494.jpg,98.898,2024-06-26T20:46:11.871729Z
teenager,256,1,2024-06-26T20:46:16.207987Z,neutral_faces,male,757,/Users/almamidany/Desktop/labeled/neutral_faces/image0005520.jpg,4.178,2024-06-26T20:46:16.208014Z
